Player,Identifier,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Pts,G,Mins,PER,TS_pct,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Spencer Hawes,hawessp01,2017,PF,28,TOT,54,1,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2,3.6,0.556,0.529,0.8,1,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,54,797,15.6,0.562,0.292,0.188,5.3,21.5,13.4,16.5,0.9,3.3,14,19.8,0.7,1,1.7,0.102,-1.2,0.8,-0.5,0.3
Spencer Hawes,hawessp01,2017,PF,28,CHO,35,1,17.9,3,6.2,0.477,0.5,1.6,0.291,2.5,4.7,0.54,0.514,0.9,1,0.882,0.9,3.3,4.2,1.8,0.4,0.7,1.1,1.7,7.3,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1,3.6,14.7,19.6,0.3,0.8,1.1,0.086,-1.8,1.2,-0.6,0.2
Spencer Hawes,hawessp01,2017,PF,28,MIL,19,0,9,1.6,3.1,0.508,0.5,1.4,0.346,1.1,1.7,0.636,0.585,0.7,0.9,0.778,0.3,2.1,2.4,1,0.1,0.2,0.5,0.8,4.4,19,171,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,0.4,0.2,0.6,0.16,1,-1,0,0.1
Gordon Hayward,haywago01,2017,SF,26,UTA,73,73,34.5,7.5,15.8,0.471,2,5.1,0.398,5.4,10.7,0.506,0.536,5,5.9,0.844,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.2,0,4.2,4
Gerald Henderson,hendege02,2017,SG,29,PHI,72,41,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,2.3,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,72,1667,10.8,0.529,0.313,0.298,2.2,10,6.1,10.5,1.2,0.7,9,17.9,1,1,2,0.059,-1.8,-1.3,-3.1,-0.5
John Henson,hensojo01,2017,C,26,MIL,58,39,19.4,2.7,5.3,0.515,0,0,0,2.7,5.3,0.516,0.515,1.3,1.8,0.692,1.6,3.5,5.1,1,0.5,1.3,0.9,2.6,6.8,58,1123,15.3,0.55,0.003,0.346,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,1.2,1.6,2.7,0.116,-2.5,2.5,-0.1,0.6
Juan Hernangomez,hernaju01,2017,PF,21,DEN,62,9,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.8,0.495,0.554,0.9,1.2,0.75,0.7,2.3,3,0.5,0.5,0.2,0.5,1,4.9,62,842,13.4,0.592,0.504,0.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.104,-0.1,-1.2,-1.3,0.1
Willy Hernangomez,hernawi01,2017,C,22,NYK,72,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.7,0.728,2.4,4.6,7,1.3,0.6,0.5,1.4,2.1,8.2,72,1324,19,0.564,0.032,0.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.123,-0.6,0.6,0,0.7
Mario Hezonja,hezonma01,2017,SF,21,ORL,65,2,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,65,960,7.2,0.45,0.436,0.152,2.2,14.7,8.3,9.6,1.5,1.3,14.1,18.8,-1.4,0.8,-0.7,-0.033,-4.8,-0.9,-5.7,-0.9
Roy Hibbert,hibbero01,2017,C,30,TOT,48,13,14.2,1.7,3.1,0.544,0,0,,1.7,3.1,0.544,0.544,1.3,1.6,0.813,1.1,2,3.2,0.4,0.2,1,0.7,2.1,4.6,48,682,13.5,0.614,0,0.51,8.7,15.9,12.3,4.6,0.6,5.9,15.1,14,1,0.8,1.8,0.129,-2.9,1.8,-1.1,0.2
Roy Hibbert,hibbero01,2017,C,30,CHO,42,13,16,1.9,3.4,0.542,0,0,,1.9,3.4,0.542,0.542,1.5,1.8,0.813,1.3,2.3,3.6,0.5,0.2,1,0.7,2.3,5.2,42,671,13.5,0.613,0,0.521,8.6,16,12.3,4.5,0.6,5.8,14.9,14,1,0.8,1.8,0.129,-2.9,1.8,-1.1,0.1
Roy Hibbert,hibbero01,2017,C,30,DEN,6,0,1.8,0.3,0.5,0.667,0,0,,0.3,0.5,0.667,0.667,0,0,,0.2,0.2,0.3,0.2,0,0.3,0.2,0.5,0.7,6,11,16.3,0.667,0,0,10.1,10,10,13.5,0,14.1,25,15.5,0,0,0,0.119,-1.9,5.1,3.2,0
Buddy Hield,hieldbu01,2017,SG,23,TOT,82,55,23,4,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.842,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,82,1888,11.8,0.541,0.494,0.099,2,13.5,7.8,10.3,1,0.4,11.2,21.3,0,1.3,1.3,0.032,-0.9,-1.9,-2.7,-0.4
Buddy Hield,hieldbu01,2017,SG,23,NOP,57,37,20.4,3.2,8.3,0.393,1.6,4.2,0.369,1.7,4,0.417,0.487,0.5,0.6,0.879,0.3,2.6,2.9,1.4,0.3,0.1,0.8,1.4,8.6,57,1161,9.9,0.503,0.512,0.07,1.7,13.4,7.5,10.3,0.8,0.5,9,20.4,-0.4,0.9,0.5,0.02,-1.9,-1.6,-3.5,-0.4
Buddy Hield,hieldbu01,2017,SG,23,SAC,25,18,29.1,5.7,11.8,0.48,2.4,5.5,0.428,3.3,6.3,0.525,0.579,1.4,1.7,0.814,0.6,3.5,4.1,1.8,0.8,0.1,2.1,1.4,15.1,25,727,14.9,0.6,0.466,0.145,2.6,13.7,8.2,10.3,1.4,0.3,14.4,22.9,0.4,0.4,0.8,0.053,0.7,-2.2,-1.5,0.1
Nene Hilario,hilarne01,2017,C,34,HOU,67,8,17.9,3.7,5.9,0.617,0,0.1,0.333,3.6,5.8,0.624,0.621,1.7,2.9,0.589,1.4,2.8,4.2,1,0.8,0.6,1.1,2.4,9.1,67,1198,18.9,0.63,0.023,0.496,8.6,17,12.8,8.6,2.2,2.6,13.1,19.7,2.5,1.6,4.1,0.165,-0.4,0.8,0.5,0.7
George Hill,hillge01,2017,PG,30,UTA,49,49,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4,7.6,0.523,0.554,3.2,4,0.801,0.5,2.9,3.4,4.2,1,0.2,1.7,2.3,16.9,49,1544,19.3,0.599,0.384,0.323,1.8,10.5,6.2,22.8,1.7,0.6,10.9,23.5,4,1.9,5.9,0.182,3.9,-0.2,3.6,2.2
Jordan Hill,hilljo01,2017,C,29,MIN,7,0,6.7,0.7,1.9,0.385,0,0,,0.7,1.9,0.385,0.385,0.3,0.3,1,1.1,0.9,2,0,0.1,0,0.6,1.3,1.7,7,47,5.5,0.432,0,0.154,19.6,15.1,17.4,0,1.1,0,22.4,16.8,-0.1,0,0,-0.033,-6.7,-6.2,-12.9,-0.1
Solomon Hill,hillso01,2017,SF,25,NOP,80,71,29.7,2.3,6,0.383,1.2,3.4,0.348,1.1,2.6,0.428,0.481,1.3,1.6,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1,2.3,7,80,2374,8,0.527,0.565,0.268,2.3,11.4,6.8,8.1,1.5,1.1,13.3,11.5,0.4,2.3,2.7,0.055,-1.8,1.5,-0.3,1
Darrun Hilliard,hillida01,2017,SG,23,DET,39,1,9.8,1.2,3.2,0.373,0.3,1.2,0.261,0.9,2.1,0.438,0.421,0.5,0.7,0.75,0.1,0.8,0.8,0.8,0.3,0.1,0.7,1,3.3,39,381,5.9,0.459,0.365,0.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027,-5,-1.1,-6.1,-0.4
Jrue Holiday,holidjr01,2017,PG,26,NOP,67,61,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4,67,2190,17.1,0.532,0.315,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,1.3,2.6,3.8,0.084,1.2,0.5,1.7,2
Justin Holiday,holidju01,2017,SG,27,NYK,82,4,20,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,82,1639,12.7,0.549,0.507,0.149,1.8,13.1,7.4,9.2,2,1.5,10.3,16.9,1.3,1.2,2.5,0.073,-0.3,-0.8,-1.1,0.4
Rondae Hollis-Jefferson,holliro01,2017,SF,22,BRK,78,50,22.6,3,6.9,0.434,0.2,0.9,0.224,2.8,6.1,0.463,0.447,2.4,3.2,0.751,1.2,4.6,5.8,2,1.1,0.6,1.5,2.3,8.7,78,1761,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.9,1.9,-1,0.4
Richaun Holmes,holmeri01,2017,C,23,PHI,57,17,20.9,4,7.2,0.558,0.5,1.4,0.351,3.6,5.9,0.606,0.591,1.3,1.8,0.699,1.6,3.8,5.5,1,0.7,1,1,2.4,9.8,57,1193,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.8,0.151,0.2,1.5,1.7,1.1
Rodney Hood,hoodro01,2017,SG,24,UTA,59,55,27,4.6,11.3,0.408,1.9,5.2,0.371,2.7,6.1,0.44,0.494,1.5,1.9,0.783,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,59,1593,12.4,0.522,0.461,0.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,0.7,1.9,2.6,0.078,-0.3,-0.9,-1.2,0.3
Al Horford,horfoal01,2017,C,30,BOS,68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2,0.8,1.4,5.4,6.8,5,0.8,1.3,1.7,2,14,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1,2,3.1,2.8
Danuel House,houseda01,2017,SG,23,WAS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,1,1,12.2,,,,0,100,56.4,0,0,0,,0,0,0,0,0.163,-16.4,-4.4,-20.8,0
Dwight Howard,howardw01,2017,C,31,ATL,74,74,29.7,5.2,8.3,0.633,0,0,0,5.2,8.3,0.635,0.633,3.1,5.7,0.533,4,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,-0.5,2.8,2.3,2.4
Marcelo Huertas,huertma01,2017,PG,33,LAL,23,1,10.3,1.1,3,0.368,0.2,0.8,0.211,0.9,2.1,0.429,0.397,0.4,0.7,0.529,0.1,1,1,2.3,0.4,0.1,0.8,0.7,2.7,23,237,9.1,0.417,0.279,0.25,0.9,10.5,5.5,30.8,2.1,0.7,20.1,17,-0.2,0.1,-0.1,-0.025,-4.6,-2.4,-7,-0.3
Josh Huestis,huestjo01,2017,PF,25,OKC,2,0,15.5,3,5.5,0.545,1,2,0.5,2,3.5,0.571,0.636,0,0.5,0,2,2.5,4.5,1.5,0,1.5,0,0,7,2,31,26.1,0.612,0.364,0.091,14.3,17.9,16.1,15.5,0,7.7,0,15.7,0.1,0,0.2,0.265,3.9,1.8,5.7,0.1
Kris Humphries,humphkr01,2017,PF,31,ATL,56,4,12.3,1.6,3.8,0.407,0.3,1,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,56,689,13.6,0.514,0.252,0.383,9.7,23,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,1.6,0.115,-3,0.3,-2.7,-0.1
R.J. Hunter,hunterj01,2017,SG,23,CHI,3,0,3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0,0,0,0,0,0,3,9,-3.2,0,1,0,0,12.1,6,0,0,0,0,4.8,0,0,0,-0.088,-9.4,-2,-11.4,0
Serge Ibaka,ibakase01,2017,PF,27,TOT,79,79,30.7,6,12.4,0.48,1.6,4,0.391,4.4,8.4,0.522,0.543,1.4,1.6,0.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,2.7,14.8,79,2422,16.4,0.566,0.323,0.127,5.7,19,12.2,5.2,0.8,4.2,9.2,20.9,2.5,2.6,5.1,0.101,-0.5,0.1,-0.4,1
Serge Ibaka,ibakase01,2017,PF,27,ORL,56,56,30.5,6.1,12.6,0.488,1.5,3.8,0.388,4.6,8.7,0.532,0.547,1.4,1.6,0.846,1.8,5,6.8,1.1,0.6,1.6,1.2,2.5,15.1,56,1710,17.5,0.569,0.304,0.129,6.2,18.5,12.2,5.9,1,4.3,8.2,20.8,2.1,1.7,3.8,0.108,-0.1,0.4,0.3,1
Serge Ibaka,ibakase01,2017,PF,27,TOR,23,23,31,5.6,12.1,0.459,1.8,4.5,0.398,3.8,7.7,0.494,0.532,1.3,1.5,0.882,1.3,5.5,6.8,0.7,0.3,1.4,1.7,3.3,14.2,23,712,13.8,0.556,0.369,0.122,4.6,20.1,12.4,3.3,0.5,4,11.7,20.9,0.4,0.8,1.3,0.085,-1.5,-0.5,-2.1,0
Andre Iguodala,iguodan01,2017,SF,33,GSW,76,0,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.605,0.9,1.3,0.706,0.7,3.3,4,3.4,1,0.5,0.8,1.3,7.6,76,1998,14.3,0.624,0.427,0.246,3,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,0.167,1.3,1.7,3,2.5
Ersan Ilyasova,ilyaser01,2017,PF,29,TOT,82,52,26.1,4.7,10.9,0.431,1.7,4.9,0.353,3,6,0.496,0.511,2,2.5,0.778,1.4,4.5,5.9,1.7,0.7,0.3,1.4,2.6,13.1,82,2142,14.6,0.546,0.452,0.233,5.9,18.8,12.4,11,1.3,0.9,10.6,22.2,1.8,2.3,4.1,0.091,0.3,-0.8,-0.5,0.8
Ersan Ilyasova,ilyaser01,2017,PF,29,OKC,3,0,20.7,2,5.3,0.375,1,4,0.25,1,1.3,0.75,0.469,0,0,,0.7,4.7,5.3,0.3,1,0.3,1.3,1.7,5,3,62,6.9,0.469,0.75,0,3.6,25,14.3,2.2,2.4,1.3,20,13.7,-0.1,0.1,0,0.012,-5.8,-0.4,-6.3,-0.1
Ersan Ilyasova,ilyaser01,2017,PF,29,PHI,53,40,27.3,5.4,12.2,0.44,2,5.6,0.359,3.4,6.6,0.509,0.522,2.1,2.7,0.768,1.3,4.6,5.9,1.8,0.6,0.3,1.5,2.5,14.8,53,1447,15.4,0.553,0.46,0.219,5.4,18.5,12,11.5,1.1,0.8,9.9,23.6,1.4,1.3,2.6,0.088,0.9,-1.3,-0.4,0.6
Ersan Ilyasova,ilyaser01,2017,PF,29,ATL,26,12,24.3,3.6,8.7,0.412,1.2,3.5,0.348,2.3,5.2,0.455,0.482,2,2.5,0.8,1.6,4.2,5.8,1.7,0.8,0.3,1.3,2.8,10.4,26,633,13.5,0.53,0.407,0.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,0.5,0.9,1.4,0.106,-0.6,0.5,-0.2,0.3
Joe Ingles,inglejo01,2017,SF,29,UTA,82,26,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,82,1972,12.4,0.604,0.619,0.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,2,3,5,0.123,0.9,1.8,2.7,2.3
Brandon Ingram,ingrabr01,2017,SF,19,LAL,79,40,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4,2.1,0.6,0.5,1.5,2,9.4,79,2279,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1
Kyrie Irving,irvinky01,2017,PG,24,CLE,72,72,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9
Jarrett Jack,jackja01,2017,PG,33,NOP,2,0,16.5,1,1.5,0.667,0,0.5,0,1,1,1,0.667,1,1,1,0,0,0,2.5,1,0,1.5,2,3,2,33,7.7,0.773,0.333,0.667,0,0,0,20.3,3,0,43.6,9.2,0,0,0,0.06,-5.3,-4.1,-9.3,-0.1
Demetrius Jackson,jacksde01,2017,PG,22,BOS,5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2,5,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.3,0
Pierre Jackson,jackspi01,2017,PG,25,DAL,8,1,10.5,1.6,4.9,0.333,0.4,1.4,0.273,1.3,3.5,0.357,0.372,0.8,0.9,0.857,0.1,1,1.1,2.4,0.3,0,0.4,0.6,4.4,8,84,13,0.416,0.282,0.179,1.3,11.6,6.2,38,1.2,0,6.7,25.3,0,0.1,0,0.021,-1.7,-2.7,-4.4,-0.1
Reggie Jackson,jacksre01,2017,PG,26,DET,52,50,27.4,5.5,13,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5,52,1424,14.9,0.51,0.272,0.201,1.5,7.4,4.4,30.3,1.2,0.3,13.4,26.4,0.8,1.2,1.9,0.065,0.6,-2,-1.4,0.2
LeBron James,jamesle01,2017,SF,32,CLE,74,74,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.8,1.6,8.4,7.3
Al Jefferson,jeffeal01,2017,C,32,IND,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,66,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.2
Richard Jefferson,jefferi01,2017,SF,36,CLE,79,13,20.4,1.9,4.3,0.446,0.8,2.4,0.333,1.2,2,0.58,0.536,1,1.4,0.741,0.4,2.2,2.6,1,0.3,0.1,0.7,1.9,5.7,79,1614,8.3,0.574,0.542,0.315,2,11.6,6.9,6.6,0.8,0.5,11.8,12.2,1.3,0.8,2.1,0.063,-1.4,-1,-2.4,-0.2
John Jenkins,jenkijo01,2017,SG,25,PHO,4,0,3.3,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,0.5,1,0,0.3,0.3,0.3,0,0,0,0,1.8,4,13,17.3,0.595,0.4,0.4,0,8.6,4.2,11.5,0,0,0,18.9,0,0,0,0.167,1.4,-5.5,-4.1,0
Brandon Jennings,jennibr01,2017,PG,27,TOT,81,13,22.2,2.4,6.6,0.359,1,3.1,0.313,1.4,3.5,0.399,0.433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0,1.6,1.4,7.1,81,1802,12.1,0.479,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1,1.7,0.046,-0.8,-2.2,-3,-0.5
Brandon Jennings,jennibr01,2017,PG,27,NYK,58,11,24.6,2.8,7.4,0.38,1.2,3.4,0.34,1.6,3.9,0.415,0.459,1.8,2.3,0.756,0.4,2.3,2.6,4.9,0.9,0.1,1.8,1.4,8.6,58,1428,12.7,0.508,0.466,0.315,1.6,9.9,5.7,28.6,1.9,0.2,17.8,18.1,0.8,0.7,1.5,0.052,-0.3,-2.2,-2.5,-0.2
Brandon Jennings,jennibr01,2017,PG,27,WAS,23,2,16.3,1.3,4.6,0.274,0.5,2.3,0.212,0.8,2.3,0.333,0.325,0.5,0.7,0.706,0.3,1.6,1.9,4.7,0.7,0,1,1.4,3.5,23,374,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2,0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.6,-2.1,-4.7,-0.3
Jonas Jerebko,jerebjo01,2017,PF,29,BOS,78,6,15.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,78,1232,9.3,0.537,0.496,0.141,5.4,19.1,12.3,8.1,1,1.1,12.3,11.4,0.8,1.3,2.1,0.08,-2.4,0.3,-2.1,0
Amir Johnson,johnsam01,2017,PF,29,BOS,80,77,20.1,2.7,4.6,0.576,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1,2.6,6.5,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.2,2.4,2.2,1.7
Brice Johnson,johnsbr02,2017,PF,22,LAC,3,0,3,0.7,2.3,0.286,0,0,,0.7,2.3,0.286,0.286,0,0,,0.3,0.7,1,0.3,0.7,0.3,0.3,0,1.3,3,9,17.2,0.286,0,0,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,-0.1,0,0,-0.165,-10.7,12.1,1.3,0
James Johnson,johnsja01,2017,PF,29,MIA,76,5,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.548,0.535,2,2.8,0.707,0.9,4.1,4.9,3.6,1,1.1,2.3,2.6,12.8,76,2085,17,0.564,0.333,0.28,3.5,16.6,10,20.9,1.8,3.2,16.5,22,1.9,3.2,5.1,0.117,0.5,2.3,2.8,2.5
Joe Johnson,johnsjo02,2017,SF,35,UTA,78,14,23.6,3.5,8,0.436,1.4,3.3,0.411,2.1,4.7,0.454,0.521,0.8,1,0.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,78,1843,12.8,0.542,0.412,0.123,2.1,12.8,7.6,12.6,1,0.8,9.5,18.5,1.7,2.1,3.8,0.099,-0.2,-0.1,-0.3,0.8
Stanley Johnson,johnsst04,2017,SF,20,DET,77,1,17.8,1.7,4.7,0.353,0.6,2,0.292,1.1,2.7,0.398,0.415,0.5,0.7,0.679,0.5,2,2.5,1.4,0.7,0.3,0.9,1.6,4.4,77,1371,7.2,0.436,0.422,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-3.8,1.8,-2,0
Tyler Johnson,johnsty01,2017,PG,24,MIA,73,0,29.8,4.9,11.3,0.433,1.3,3.4,0.372,3.6,7.9,0.46,0.49,2.7,3.5,0.768,0.7,3.3,4,3.2,1.2,0.6,1.2,2.4,13.7,73,2178,15.9,0.535,0.303,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,3.1,2.7,5.8,0.128,0.7,0.8,1.5,1.9
Wesley Johnson,johnswe01,2017,SF,29,LAC,68,3,11.9,1.1,2.9,0.365,0.4,1.7,0.246,0.6,1.2,0.537,0.438,0.2,0.3,0.647,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,68,810,8.4,0.448,0.59,0.085,3.7,20.8,12.5,3.9,1.8,3,8,12.5,-0.3,1.2,0.9,0.051,-3.4,1.6,-1.8,0
Nikola Jokic,jokicni01,2017,C,21,DEN,73,59,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,73,2038,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,9.7,0.228,6.2,2.2,8.4,5.3
Dahntay Jones,jonesda02,2017,SF,36,CLE,1,0,12,3,8,0.375,0,2,0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9,1,12,14.7,0.461,0.25,0.5,9.5,8.9,9.2,14.5,0,0,9.3,39.9,0,0,0,-0.03,-3.8,-7.1,-10.9,0
Damian Jones,jonesda03,2017,C,21,GSW,10,0,8.5,0.8,1.6,0.5,0,0,,0.8,1.6,0.5,0.5,0.3,1,0.3,0.9,1.4,2.3,0,0.1,0.4,0.6,1.5,1.9,10,85,5.3,0.466,0,0.625,12.4,17,14.8,0,0.6,3.7,22.7,13.4,-0.1,0.1,0,0.018,-7.5,-2.1,-9.6,-0.2
Derrick Jones,jonesde02,2017,SF,19,PHO,32,8,17,2.1,3.8,0.562,0.1,0.3,0.273,2,3.4,0.591,0.574,0.9,1.3,0.707,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2,5.3,32,545,12,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-0.5,-0.6,-1.1,0.1
James Jones,jonesja02,2017,SF,36,CLE,48,2,7.9,0.9,1.9,0.478,0.6,1.4,0.47,0.3,0.5,0.5,0.647,0.3,0.4,0.65,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.8,2.8,48,381,11.1,0.655,0.717,0.217,0.9,9.5,5.4,5.2,0.8,2.1,9,13,0.6,0.2,0.8,0.102,0,-1.6,-1.6,0
Terrence Jones,joneste01,2017,PF,25,TOT,54,12,23.5,4.3,9.1,0.47,0.4,1.4,0.253,3.9,7.7,0.508,0.489,1.9,3.1,0.606,1.2,4.5,5.7,1.1,0.7,1,0.9,1.2,10.8,54,1270,16.1,0.515,0.152,0.346,5.4,20.2,12.7,7.5,1.5,3.5,7.8,21.4,0.4,1.9,2.3,0.086,-2.7,1.3,-1.3,0.2
Terrence Jones,joneste01,2017,PF,25,NOP,51,12,24.8,4.5,9.6,0.472,0.4,1.5,0.253,4.2,8.1,0.512,0.492,2,3.3,0.606,1.3,4.7,5.9,1.2,0.8,1,0.9,1.3,11.5,51,1264,16.2,0.518,0.153,0.348,5.4,20,12.6,7.5,1.5,3.4,7.8,21.4,0.5,1.8,2.3,0.088,-2.6,1.3,-1.3,0.2
Terrence Jones,joneste01,2017,PF,25,MIL,3,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0.3,0.3,0,0,0,3,6,1.5,0,0,0,0,57.6,29.1,0,8.5,14.7,0,22.8,-0.1,0,0,-0.312,-26.7,6.6,-20.1,0
